THREAD 140544217503552: Solving Sonny's knight's tour problem for a 4x4 board
THREAD 140544217499200: 2 moves possible after move #1; creating threads...
THREAD 140544209106496: 3 moves possible after move #2; creating threads...
THREAD 140544200713792: 3 moves possible after move #2; creating threads...
THREAD 140544192321088: 2 moves possible after move #4; creating threads...
THREAD 140544183928384: 2 moves possible after move #3; creating threads...
THREAD 140544175535680: 2 moves possible after move #3; creating threads...
THREAD 140544167142976: 2 moves possible after move #3; creating threads...
THREAD 140544158750272: 2 moves possible after move #3; creating threads...
THREAD 140543677953600: 2 moves possible after move #4; creating threads...
THREAD 140543535343168: 2 moves possible after move #4; creating threads...
THREAD 140543644382784: 2 moves possible after move #4; creating threads...
THREAD 140543652775488: 2 moves possible after move #4; creating threads...
THREAD 140543661168192: 2 moves possible after move #4; creating threads...
THREAD 140543543735872: 2 moves possible after move #4; creating threads...
THREAD 140543669560896: 2 moves possible after move #5; creating threads...
THREAD 140543526950464: 2 moves possible after move #4; creating threads...
THREAD 140543627597376: 2 moves possible after move #4; creating threads...
THREAD 140543518557760: 2 moves possible after move #4; creating threads...
THREAD 140543635990080: 2 moves possible after move #5; creating threads...
THREAD 140543510165056: 2 moves possible after move #5; creating threads...
THREAD 140543501772352: 2 moves possible after move #5; creating threads...
THREAD 140543006864960: 3 moves possible after move #5; creating threads...
THREAD 140543493379648: 2 moves possible after move #5; creating threads...
THREAD 140542990079552: 3 moves possible after move #5; creating threads...
THREAD 140542998472256: 2 moves possible after move #5; creating threads...
THREAD 140542100878912: 3 moves possible after move #5; creating threads...
THREAD 140542964901440: 2 moves possible after move #5; creating threads...
THREAD 140542134449728: 2 moves possible after move #5; creating threads...
THREAD 140542084093504: 3 moves possible after move #5; creating threads...
THREAD 140542981686848: 3 moves possible after move #5; creating threads...
THREAD 140542109271616: 2 moves possible after move #5; creating threads...
THREAD 140542956508736: 3 moves possible after move #5; creating threads...
THREAD 140541958268480: 2 moves possible after move #5; creating threads...
THREAD 140541949875776: 2 moves possible after move #6; creating threads...
THREAD 140542973294144: 3 moves possible after move #5; creating threads...
THREAD 140541664687680: 2 moves possible after move #6; creating threads...
THREAD 140542117664320: 2 moves possible after move #6; creating threads...
THREAD 140540792272448: 3 moves possible after move #7; creating threads...
THREAD 140541966661184: 2 moves possible after move #6; creating threads...
THREAD 140541530469952: 2 moves possible after move #6; creating threads...
THREAD 140540741916224: 2 moves possible after move #6; creating threads...
THREAD 140541991839296: 2 moves possible after move #5; creating threads...
THREAD 140542126057024: 2 moves possible after move #5; creating threads...
THREAD 140542092486208: 3 moves possible after move #5; creating threads...
THREAD 140541983446592: 2 moves possible after move #6; creating threads...
THREAD 140542000232000: 2 moves possible after move #6; creating threads...
THREAD 140541505291840: 3 moves possible after move #7; creating threads...
THREAD 140540758701632: 3 moves possible after move #7; creating threads...
THREAD 140541639509568: 3 moves possible after move #7; creating threads...
THREAD 140540221830720: 3 moves possible after move #7; creating threads...
THREAD 140541975053888: 2 moves possible after move #6; creating threads...
THREAD 140540456728128: 2 moves possible after move #6; creating threads...
THREAD 140540255401536: 3 moves possible after move #9; creating threads...
THREAD 140539852748352: 2 moves possible after move #6; creating threads...
THREAD 140541614331456: 3 moves possible after move #7; creating threads...
THREAD 140541522077248: 3 moves possible after move #7; creating threads...
THREAD 140539399738944: 2 moves possible after move #6; creating threads...
THREAD 140540767094336: 3 moves possible after move #7; creating threads...
THREAD 140538695112256: 3 moves possible after move #7; creating threads...
THREAD 140538661541440: 2 moves possible after move #8; creating threads...
THREAD 140540750308928: 2 moves possible after move #6; creating threads...
THREAD 140541656294976: 3 moves possible after move #7; creating threads...
THREAD 140540783879744: 2 moves possible after move #6; creating threads...
THREAD 140540439942720: 2 moves possible after move #7; creating threads...
THREAD 140540431550016: 3 moves possible after move #7; creating threads...
THREAD 140539450095168: 2 moves possible after move #6; creating threads...
THREAD 140541480113728: 3 moves possible after move #7; creating threads...
THREAD 140541622724160: 2 moves possible after move #6; creating threads...
THREAD 140541631116864: 3 moves possible after move #7; creating threads...
